pathogen,antibiotic,resistance_level,collection_date,location
Campylobacter,Azithromycin,Low,2022-04-06,East Jerry
E. coli,Chloramphenicol,Medium,2022-01-26,Feliciamouth
Salmonella,Amoxicillin,High,2022-12-03,Lake Steveborough
Campylobacter,Chloramphenicol,Low,2020-05-11,Jakeville
E. coli,Azithromycin,High,2024-01-07,Justinton
Campylobacter,Azithromycin,Medium,2024-09-22,East Kylemouth
Campylobacter,Levofloxacin,Medium,2023-06-08,North Stefanie
E. coli,Trimethoprim,Medium,2024-01-18,Maciasstad
Campylobacter,Levofloxacin,High,2023-12-14,Vasquezmouth
E. coli,Norfloxacin,High,2023-01-16,Courtneymouth
E. coli,Erythromycin,Medium,2021-12-20,Stephenview
Campylobacter,Nitrofurantoin,High,2023-03-05,Seanchester
E. coli,Doxycycline,Low,2024-09-19,Antonioshire
Campylobacter,Doxycycline,Low,2022-07-28,New Kenneth
Campylobacter,Trimethoprim,High,2024-04-09,West Jameschester
Salmonella,Doxycycline,Low,2024-09-01,South Patricia
E. coli,Ciprofloxacin,Medium,2022-04-07,West Paulburgh
Salmonella,Chloramphenicol,High,2020-04-28,Bakermouth
E. coli,Norfloxacin,High,2024-03-19,New Michael
Salmonella,Amoxicillin,Medium,2021-07-10,West John
Salmonella,Azithromycin,Medium,2021-11-13,West Amanda
Campylobacter,Chloramphenicol,Medium,2020-02-27,Brendaberg
Salmonella,Erythromycin,High,2024-07-15,Debramouth
Campylobacter,Gentamicin,Medium,2020-10-28,Guerreroborough
Campylobacter,Norfloxacin,Low,2023-12-13,Jakemouth
Salmonella,Doxycycline,Low,2021-03-23,Thomasmouth
E. coli,Levofloxacin,Low,2020-01-08,Nicholasside
Salmonella,Gentamicin,High,2020-06-07,Port Aaron
Salmonella,Nitrofurantoin,Medium,2020-07-26,Dillonport
Campylobacter,Ciprofloxacin,Low,2021-12-05,Port Stacie
Campylobacter,Trimethoprim,Low,2020-12-01,New Angelachester
Salmonella,Ciprofloxacin,Medium,2022-01-09,Michelleborough
Campylobacter,Ciprofloxacin,High,2023-08-10,Smithland
Salmonella,Levofloxacin,Medium,2023-06-04,Christopherbury
E. coli,Ceftriaxone,Medium,2022-08-24,Myersstad
Campylobacter,Erythromycin,Medium,2022-04-03,East Joshua
E. coli,Trimethoprim,Low,2021-02-20,Ericborough
E. coli,Erythromycin,High,2023-12-21,Gutierrezmouth
Salmonella,Gentamicin,Medium,2021-03-29,North Megan
Campylobacter,Chloramphenicol,Medium,2023-04-07,West Jenniferfurt
E. coli,Chloramphenicol,Low,2024-08-13,Billyfort
E. coli,Levofloxacin,Medium,2021-05-21,Lake Amandashire
E. coli,Levofloxacin,Low,2022-08-21,Ronaldhaven
Salmonella,Erythromycin,Medium,2020-08-18,North Amymouth
Salmonella,Erythromycin,High,2020-10-09,Barkerhaven
Campylobacter,Levofloxacin,Medium,2024-07-28,West Crystal
Salmonella,Gentamicin,High,2024-09-12,East Michaelville
Campylobacter,Amoxicillin,High,2023-09-29,Lake Justinburgh
E. coli,Gentamicin,Medium,2021-12-09,Sandrafurt
E. coli,Azithromycin,Medium,2023-04-11,East Laura
Campylobacter,Azithromycin,High,2023-04-03,Medinachester
Salmonella,Doxycycline,Medium,2021-11-26,North Michelletown
Salmonella,Ciprofloxacin,High,2020-12-05,West Evelynfurt
Campylobacter,Trimethoprim,Low,2023-04-01,Taylorburgh
Salmonella,Trimethoprim,High,2023-08-21,East Joel
Campylobacter,Doxycycline,High,2022-07-14,North Derrickmouth
Salmonella,Ceftriaxone,Medium,2024-04-20,South Robert
Campylobacter,Chloramphenicol,Low,2023-02-01,South Roy
Campylobacter,Levofloxacin,Medium,2022-04-20,North Jamesfort
Salmonella,Chloramphenicol,High,2024-07-30,South Sarafort
Campylobacter,Ciprofloxacin,Medium,2022-09-11,West Katherine
Salmonella,Levofloxacin,Medium,2021-07-21,Jessicafort
Campylobacter,Trimethoprim,High,2024-04-20,South Mallory
Salmonella,Chloramphenicol,Medium,2020-09-28,Willisshire
Campylobacter,Ceftriaxone,Medium,2022-04-03,Matthewsstad
Campylobacter,Norfloxacin,Low,2020-11-02,Denisechester
E. coli,Ciprofloxacin,Medium,2020-09-23,Prattberg
E. coli,Erythromycin,Low,2023-07-19,Joannachester
Salmonella,Ciprofloxacin,Medium,2023-03-28,South Amandaborough
Salmonella,Ceftriaxone,High,2021-12-15,Lake Kimberly
E. coli,Erythromycin,Low,2022-11-18,Patriciabury
Campylobacter,Chloramphenicol,Medium,2021-12-16,Lishire
Salmonella,Levofloxacin,Medium,2022-02-08,North Donaldmouth
Salmonella,Ceftriaxone,Medium,2024-02-01,South Barbara
Campylobacter,Doxycycline,Medium,2022-02-26,New Stephanie
Salmonella,Norfloxacin,High,2020-04-24,Shepherdberg
E. coli,Doxycycline,Low,2023-11-19,South Seanchester
Campylobacter,Ciprofloxacin,High,2023-11-10,Lake Perryton
E. coli,Levofloxacin,Low,2022-07-31,Margaretview
Salmonella,Erythromycin,High,2023-12-20,Moralesland
Campylobacter,Azithromycin,High,2024-04-19,East Markberg
Salmonella,Levofloxacin,Medium,2023-01-16,Monicatown
Salmonella,Ceftriaxone,High,2024-06-12,Suttonmouth
Campylobacter,Ciprofloxacin,Low,2020-08-26,Scottfurt
Campylobacter,Levofloxacin,Medium,2021-07-16,Lake Doris
Campylobacter,Doxycycline,Medium,2023-06-05,Jenniferberg
Campylobacter,Erythromycin,Low,2024-11-02,Tiffanystad
Salmonella,Levofloxacin,Low,2020-01-01,West Samuel
E. coli,Chloramphenicol,Low,2020-05-13,Davisfurt
Campylobacter,Doxycycline,Low,2021-05-28,South Rodneyberg
Salmonella,Norfloxacin,High,2021-05-24,Wellsmouth
Campylobacter,Norfloxacin,Medium,2024-10-02,West Erictown
Salmonella,Azithromycin,High,2024-02-18,Royville
Campylobacter,Ceftriaxone,Low,2023-03-07,Lake Ashleyhaven
E. coli,Levofloxacin,Low,2023-06-25,South Jennabury
E. coli,Doxycycline,High,2020-10-12,North Tyler
Salmonella,Chloramphenicol,Medium,2022-10-02,North Gabriellemouth
Campylobacter,Amoxicillin,Medium,2022-05-04,New Matthewton
Campylobacter,Norfloxacin,Low,2021-05-23,Sarahstad
Campylobacter,Gentamicin,Low,2020-08-10,Molinaview
Salmonella,Azithromycin,Low,2024-04-27,New Henry
E. coli,Trimethoprim,Low,2024-08-28,Aimeestad
Campylobacter,Azithromycin,Low,2021-08-27,Lake Matthewside
Salmonella,Doxycycline,Medium,2024-07-09,New Rebekahborough
E. coli,Ceftriaxone,Low,2024-07-16,North Judithview
Campylobacter,Azithromycin,Medium,2023-04-03,Alexanderside
Campylobacter,Ciprofloxacin,High,2020-01-09,New Juliemouth
Campylobacter,Trimethoprim,High,2022-08-23,Lake Cindy
Salmonella,Chloramphenicol,Medium,2022-07-06,South Steven
Campylobacter,Gentamicin,Medium,2024-01-10,Port Andrew
Campylobacter,Doxycycline,Medium,2020-06-19,Cameronview
E. coli,Nitrofurantoin,Low,2021-01-28,West Brettside
Campylobacter,Erythromycin,Low,2023-11-11,Rileyhaven
E. coli,Amoxicillin,Low,2021-07-26,East Amandafort
Campylobacter,Chloramphenicol,Low,2022-12-07,Hartmanbury
Campylobacter,Ceftriaxone,Medium,2023-07-28,Harrisborough
E. coli,Gentamicin,Medium,2021-05-09,New Anthony
Campylobacter,Gentamicin,High,2022-02-01,Lake Phillip
Campylobacter,Chloramphenicol,Low,2020-07-08,Jacksonland
Salmonella,Levofloxacin,Medium,2024-06-20,Hodgechester
Salmonella,Norfloxacin,High,2023-03-14,Ashleyton
Salmonella,Trimethoprim,Medium,2023-05-10,North Henry
Salmonella,Chloramphenicol,Low,2020-04-09,West Louis
Campylobacter,Levofloxacin,High,2022-06-05,North Denise
Salmonella,Chloramphenicol,Low,2022-12-25,Millerville
Campylobacter,Chloramphenicol,Medium,2022-12-02,East Julieside
Salmonella,Doxycycline,High,2024-06-22,East Deborah
Campylobacter,Norfloxacin,Low,2020-10-13,New Marcusmouth
Salmonella,Gentamicin,High,2022-03-02,Schneiderton
Salmonella,Norfloxacin,Low,2021-04-27,New Michelle
Salmonella,Doxycycline,Medium,2020-07-08,South Amanda
E. coli,Erythromycin,Medium,2021-12-30,Johnstad
Campylobacter,Erythromycin,Low,2024-01-08,Laramouth
Campylobacter,Doxycycline,Low,2024-02-02,North Josechester
Salmonella,Gentamicin,High,2020-02-05,South Michelle
Salmonella,Amoxicillin,Medium,2022-12-25,Arroyomouth
Salmonella,Doxycycline,High,2022-08-05,Port Ericville
E. coli,Amoxicillin,Low,2020-03-10,Davidberg
Campylobacter,Chloramphenicol,Low,2022-06-30,Jeremyside
Salmonella,Norfloxacin,Low,2024-10-14,Trevorfort
E. coli,Norfloxacin,Low,2023-06-24,Stevenland
Campylobacter,Doxycycline,Low,2022-07-10,Port Jennifer
E. coli,Amoxicillin,Low,2021-08-25,Floresstad
Salmonella,Ciprofloxacin,Medium,2020-02-08,Latoyaberg
Campylobacter,Chloramphenicol,High,2024-02-02,Davidburgh
E. coli,Chloramphenicol,Low,2022-05-17,Adamville
Salmonella,Chloramphenicol,Medium,2023-10-06,Jonesberg
Campylobacter,Norfloxacin,Medium,2024-05-13,North Aaron
Campylobacter,Trimethoprim,High,2024-09-16,Lake Mariomouth
E. coli,Amoxicillin,Medium,2020-06-26,Hoganborough
E. coli,Doxycycline,Medium,2020-07-20,Danielchester
Salmonella,Levofloxacin,Medium,2020-10-14,Smithbury
Salmonella,Ciprofloxacin,Low,2020-12-19,South Codyview
E. coli,Erythromycin,Medium,2024-04-17,Cabreraside
Campylobacter,Trimethoprim,High,2020-03-13,South Miguelburgh
Salmonella,Doxycycline,High,2020-08-01,Port Patriciamouth
E. coli,Amoxicillin,High,2021-03-22,Clayberg
E. coli,Nitrofurantoin,Medium,2021-08-30,Erikaburgh
Campylobacter,Ciprofloxacin,High,2023-08-14,Morenotown
Campylobacter,Trimethoprim,Low,2021-10-06,Leeshire
Salmonella,Nitrofurantoin,Low,2024-02-19,Port David
E. coli,Erythromycin,High,2021-04-30,Bakerton
Campylobacter,Nitrofurantoin,High,2024-01-30,Marshallchester
Campylobacter,Doxycycline,Medium,2020-03-13,Nealland
Campylobacter,Norfloxacin,Low,2022-07-02,East James
Campylobacter,Amoxicillin,High,2022-11-19,East Tonya
Salmonella,Trimethoprim,Medium,2023-06-21,Hernandezstad
E. coli,Nitrofurantoin,Low,2021-02-17,West Matthewland
E. coli,Chloramphenicol,Medium,2024-04-18,Chadborough
Salmonella,Ceftriaxone,High,2020-06-04,North Davidmouth
Campylobacter,Erythromycin,High,2022-11-20,West Christopher
Campylobacter,Azithromycin,Low,2023-07-30,Port Rita
Campylobacter,Gentamicin,Medium,2020-05-29,Lake Toddhaven
E. coli,Levofloxacin,Medium,2022-03-31,South Davidborough
Campylobacter,Azithromycin,Medium,2021-07-19,Lake Christopher
Campylobacter,Trimethoprim,Low,2021-05-14,West Tiffanyview
Campylobacter,Gentamicin,Medium,2023-01-19,Ferrellfort
Campylobacter,Ceftriaxone,Low,2020-04-08,West Steven
Salmonella,Ciprofloxacin,Medium,2021-11-06,Anthonytown
Salmonella,Norfloxacin,High,2024-06-12,Suzannebury
Campylobacter,Doxycycline,High,2022-12-30,Sarastad
E. coli,Levofloxacin,High,2022-08-15,West Cristinachester
Campylobacter,Azithromycin,High,2021-04-28,Watkinsmouth
E. coli,Gentamicin,Low,2022-05-24,Lake Stephanietown
Salmonella,Doxycycline,High,2021-08-19,West Emilyborough
E. coli,Trimethoprim,Medium,2022-08-08,Kimberlyport
Campylobacter,Nitrofurantoin,Low,2022-10-15,South Jonathanshire
Campylobacter,Chloramphenicol,Medium,2023-07-14,Howardside
Campylobacter,Trimethoprim,High,2021-08-16,Dustinfurt
Campylobacter,Azithromycin,Low,2022-01-11,Welchberg
Campylobacter,Norfloxacin,High,2020-09-27,Lake Hollyberg
E. coli,Gentamicin,Medium,2021-03-18,South Jessicahaven
E. coli,Nitrofurantoin,Low,2023-12-07,South Vanessa
Salmonella,Azithromycin,Low,2024-10-25,Richardsontown
Salmonella,Ciprofloxacin,High,2020-10-07,South Sarah
E. coli,Doxycycline,High,2024-10-04,Roseburgh
E. coli,Norfloxacin,Medium,2020-06-15,East Jonathan
E. coli,Norfloxacin,Low,2024-09-09,South Melindaville
Campylobacter,Norfloxacin,High,2021-05-11,Port Johnfort
Salmonella,Trimethoprim,High,2021-08-19,West Kevinside
E. coli,Ciprofloxacin,Low,2021-08-06,Johnsonville
E. coli,Doxycycline,Medium,2023-07-09,Stewartland
Campylobacter,Gentamicin,Medium,2023-09-08,Port Michael
Salmonella,Gentamicin,Low,2021-01-31,Jeremyfort
Salmonella,Erythromycin,Low,2024-07-27,East Anthonyberg
E. coli,Doxycycline,Medium,2024-06-19,North Alexanderville
Campylobacter,Gentamicin,High,2024-03-21,Zimmermanville
Campylobacter,Trimethoprim,Low,2023-10-27,East Johnhaven
E. coli,Nitrofurantoin,High,2020-10-03,Matthewburgh
Campylobacter,Doxycycline,Low,2022-01-16,Michaelmouth
Salmonella,Doxycycline,Low,2021-04-09,Everettbury
E. coli,Amoxicillin,Low,2024-08-07,Lake Cynthiafort
E. coli,Gentamicin,High,2020-04-17,Diazland
Salmonella,Gentamicin,Medium,2020-11-03,Jessicamouth
Salmonella,Ciprofloxacin,Low,2024-05-11,Port Rachel
Salmonella,Ciprofloxacin,Low,2022-03-27,Sabrinastad
Campylobacter,Trimethoprim,Low,2021-01-03,New Stacy
Salmonella,Ciprofloxacin,Low,2022-08-26,North Katiefort
Campylobacter,Azithromycin,Medium,2024-03-17,Austinfort
Campylobacter,Trimethoprim,Medium,2023-05-15,Dudleychester
E. coli,Chloramphenicol,Low,2021-05-18,Penaton
Salmonella,Chloramphenicol,High,2021-10-20,Jaystad
Salmonella,Chloramphenicol,Low,2021-08-27,Jameschester
Salmonella,Doxycycline,Medium,2022-01-30,South Patriciaburgh
Salmonella,Doxycycline,High,2020-04-12,Lake Nathanton
Salmonella,Trimethoprim,High,2023-04-08,South Barbara
Campylobacter,Levofloxacin,Medium,2024-02-20,Katrinaside
Campylobacter,Doxycycline,High,2021-06-16,North Ryantown
E. coli,Amoxicillin,Low,2023-05-31,South Felicia
E. coli,Doxycycline,Low,2020-04-19,New Craigland
Campylobacter,Ceftriaxone,Medium,2021-04-11,Barrytown
E. coli,Gentamicin,High,2020-12-30,South Bridgetmouth
E. coli,Trimethoprim,Low,2024-04-27,Port Hannah
Salmonella,Ciprofloxacin,Low,2024-08-19,Darrelltown
E. coli,Ceftriaxone,High,2021-04-11,Hollyview
Campylobacter,Levofloxacin,Low,2023-07-20,West Paula
E. coli,Chloramphenicol,High,2022-01-28,Anthonyhaven
Salmonella,Amoxicillin,Low,2020-10-19,North Robertchester
E. coli,Chloramphenicol,Low,2021-11-24,Clarkside
Salmonella,Ceftriaxone,Low,2024-03-17,Samueltown
Salmonella,Nitrofurantoin,High,2023-03-09,Frazierville
E. coli,Ciprofloxacin,Low,2022-01-02,North Richard
Salmonella,Ciprofloxacin,Medium,2024-06-27,Lake Calebmouth
Salmonella,Doxycycline,High,2020-07-14,Port Jimmyland
Salmonella,Doxycycline,Medium,2022-08-04,North Jonathan
E. coli,Ciprofloxacin,Low,2022-09-21,Schneiderborough
Salmonella,Levofloxacin,Medium,2023-07-12,Moralesmouth
Salmonella,Erythromycin,High,2024-03-18,East Samantha
Salmonella,Trimethoprim,Low,2024-09-17,South Holly
Campylobacter,Ciprofloxacin,Low,2020-01-03,Stacyfort
E. coli,Ciprofloxacin,Low,2023-04-03,South Danielfort
Campylobacter,Gentamicin,High,2021-03-02,South Stephaniebury
E. coli,Nitrofurantoin,Low,2023-02-19,Port Gina
Salmonella,Ciprofloxacin,High,2021-02-18,Troymouth
Campylobacter,Nitrofurantoin,Medium,2023-02-10,Sharonville
Campylobacter,Doxycycline,Medium,2022-10-15,North Steven
Campylobacter,Levofloxacin,Low,2024-11-06,Owenton
Campylobacter,Nitrofurantoin,High,2022-12-22,Luistown
Salmonella,Ceftriaxone,Low,2020-08-24,West Ronnie
Salmonella,Norfloxacin,Low,2024-05-14,Louisville
Salmonella,Nitrofurantoin,Medium,2022-04-27,East Jerryfort
E. coli,Nitrofurantoin,High,2020-01-31,North Kristi
Campylobacter,Amoxicillin,Low,2024-02-10,Melindastad
Campylobacter,Ceftriaxone,High,2023-10-01,New Steven
Campylobacter,Ceftriaxone,Low,2022-05-18,Holmesfurt
Salmonella,Amoxicillin,Medium,2024-08-28,Lake Timothyland
Campylobacter,Amoxicillin,High,2020-12-20,East Christopherborough
E. coli,Gentamicin,High,2021-07-24,Kellymouth
Campylobacter,Trimethoprim,Medium,2020-03-04,South Lucas
Salmonella,Chloramphenicol,Medium,2024-07-14,Manuelbury
Salmonella,Levofloxacin,High,2020-04-21,Jessicaton
Salmonella,Chloramphenicol,High,2021-10-30,South Amandaburgh
Campylobacter,Chloramphenicol,Medium,2020-09-13,Hannahburgh
Salmonella,Trimethoprim,High,2020-03-14,Lopezburgh
Salmonella,Gentamicin,Low,2023-03-29,North Brent
Campylobacter,Trimethoprim,High,2022-04-30,Smithhaven
E. coli,Doxycycline,Low,2023-07-21,South Williamfort
Campylobacter,Trimethoprim,Medium,2020-03-21,East Tiffany
E. coli,Ceftriaxone,Medium,2020-01-10,Lake Cassiechester
Salmonella,Amoxicillin,Low,2023-09-30,East Micheleland
E. coli,Chloramphenicol,Low,2020-12-17,East Ashley
Salmonella,Norfloxacin,High,2021-04-26,Lake Brendafort
Salmonella,Chloramphenicol,High,2022-04-08,Wrighttown
E. coli,Amoxicillin,High,2022-11-13,Cobbmouth
E. coli,Ceftriaxone,High,2022-02-04,Johnsonfort
Campylobacter,Nitrofurantoin,Medium,2023-05-18,South Kristen
Salmonella,Norfloxacin,Low,2023-03-24,New Robert
Campylobacter,Levofloxacin,High,2023-04-07,Thomasstad
E. coli,Amoxicillin,Low,2020-02-06,East Justin
E. coli,Norfloxacin,Low,2023-08-14,Port Nicholasport
E. coli,Chloramphenicol,Low,2020-07-31,North Sarahshire
E. coli,Gentamicin,Low,2020-05-21,West Ashley
Campylobacter,Ciprofloxacin,Low,2020-11-07,West Garyland
Salmonella,Trimethoprim,Medium,2023-05-01,South Dylan
Campylobacter,Amoxicillin,High,2024-06-05,Dawsonside
Campylobacter,Ceftriaxone,High,2024-05-18,Port Christina
Campylobacter,Ceftriaxone,Medium,2024-10-07,South Saraville
Campylobacter,Norfloxacin,Low,2022-08-03,East Patricia
Salmonella,Ceftriaxone,High,2022-10-16,Port Brian
Salmonella,Levofloxacin,High,2023-11-11,Port Susanport
Campylobacter,Ceftriaxone,High,2024-06-14,Fernandezfurt
Salmonella,Levofloxacin,Medium,2022-02-20,Kaylashire
Salmonella,Trimethoprim,High,2024-01-27,Hardymouth
Campylobacter,Ceftriaxone,Low,2023-05-07,East Sandraville
Campylobacter,Chloramphenicol,Low,2022-10-18,Robertland
Campylobacter,Trimethoprim,Low,2023-11-29,East Michaelmouth
Campylobacter,Norfloxacin,Low,2021-08-12,East Rebeccashire
Salmonella,Amoxicillin,Low,2020-06-05,Amyside
E. coli,Doxycycline,High,2022-04-27,East Amy
Salmonella,Gentamicin,Low,2020-12-13,Lake Laurie
Campylobacter,Nitrofurantoin,Medium,2021-08-01,Geraldport
Campylobacter,Erythromycin,High,2020-06-11,Johnfurt
Salmonella,Chloramphenicol,Low,2022-12-17,Smithburgh
Campylobacter,Azithromycin,Low,2022-12-21,Port Christopherville
Campylobacter,Trimethoprim,Medium,2023-05-24,Beckymouth
E. coli,Ceftriaxone,High,2023-11-13,Davidside
E. coli,Azithromycin,Low,2023-02-02,Evansborough
E. coli,Gentamicin,Low,2022-01-17,East Shanetown
E. coli,Erythromycin,High,2022-02-27,Pierceton
Campylobacter,Nitrofurantoin,Low,2020-11-04,Rebeccachester
E. coli,Gentamicin,Medium,2023-09-11,New Jasminehaven
E. coli,Ciprofloxacin,Medium,2020-11-07,Bennettland
E. coli,Ceftriaxone,High,2021-02-17,Rickton
Campylobacter,Norfloxacin,Low,2021-01-28,East Patrickshire
Campylobacter,Levofloxacin,Low,2021-09-11,Gwendolynfort
E. coli,Erythromycin,Medium,2023-01-02,New Lawrence
E. coli,Ceftriaxone,High,2024-04-05,Smithville
Salmonella,Doxycycline,High,2021-01-25,Kennethburgh
Salmonella,Chloramphenicol,High,2020-07-24,Ayalaberg
Salmonella,Amoxicillin,Medium,2022-05-07,Howardmouth
Campylobacter,Ciprofloxacin,High,2023-09-01,Lake Davidmouth
Salmonella,Trimethoprim,High,2023-02-05,Ambermouth
Salmonella,Ciprofloxacin,Low,2021-09-24,East Laura
Campylobacter,Azithromycin,Low,2023-01-12,New Stephanie
Campylobacter,Levofloxacin,Medium,2023-06-09,East Timothy
Campylobacter,Nitrofurantoin,Medium,2023-05-29,South Cherylmouth
E. coli,Chloramphenicol,Low,2022-03-01,New Jeremyshire
Salmonella,Ceftriaxone,Medium,2021-04-16,Lauraberg
Campylobacter,Norfloxacin,Medium,2022-08-29,Danamouth
Salmonella,Doxycycline,High,2021-08-17,Lake Charles
Campylobacter,Ceftriaxone,Medium,2023-04-25,Nicholasburgh
E. coli,Levofloxacin,Medium,2020-08-17,West Austinmouth
Salmonella,Chloramphenicol,Medium,2021-02-09,West Katie
Campylobacter,Erythromycin,High,2022-01-20,Port James
E. coli,Gentamicin,High,2021-05-03,Lake Michelebury
Salmonella,Doxycycline,High,2021-04-05,Leslieland
Salmonella,Chloramphenicol,Medium,2021-09-19,Douglasberg
Campylobacter,Ceftriaxone,Medium,2020-08-18,Port Scottton
E. coli,Amoxicillin,High,2020-07-12,New Danielland
Salmonella,Azithromycin,Medium,2024-02-13,Ruthside
Salmonella,Chloramphenicol,Low,2023-07-28,Jeffreyborough
Campylobacter,Trimethoprim,Medium,2021-07-06,East Deanna
Campylobacter,Ceftriaxone,High,2021-02-24,Jeremyton
Salmonella,Azithromycin,High,2020-08-29,Port Jenniferfort
Campylobacter,Trimethoprim,Low,2023-07-09,West Lori
Salmonella,Nitrofurantoin,Medium,2020-06-21,Bateschester
Campylobacter,Nitrofurantoin,High,2021-01-21,Jenniferside
E. coli,Norfloxacin,High,2020-04-23,Brianborough
Campylobacter,Amoxicillin,Low,2020-09-25,Lake Isaiah
Campylobacter,Norfloxacin,Low,2023-08-16,Toddborough
Campylobacter,Levofloxacin,Low,2023-04-15,Lake Kelseyburgh
E. coli,Doxycycline,Low,2022-07-07,Keithstad
Campylobacter,Chloramphenicol,Low,2023-03-06,Reevesshire
E. coli,Trimethoprim,High,2021-05-31,Goldenberg
Salmonella,Erythromycin,Low,2022-07-17,North Stephaniestad
Campylobacter,Nitrofurantoin,Low,2020-07-25,Smithberg
E. coli,Chloramphenicol,Medium,2024-08-21,North Steven
E. coli,Norfloxacin,Medium,2020-09-25,Andreaborough
Campylobacter,Levofloxacin,High,2020-05-17,South Douglasview
E. coli,Ciprofloxacin,High,2020-03-20,Christinamouth
E. coli,Trimethoprim,Medium,2021-03-31,Sparksshire
Campylobacter,Doxycycline,Medium,2024-05-08,Floreshaven
Campylobacter,Ciprofloxacin,Low,2022-01-09,Perezborough
Salmonella,Doxycycline,Medium,2023-03-20,East Andrewfurt
Campylobacter,Ceftriaxone,High,2024-03-05,New Tinatown
Campylobacter,Doxycycline,Medium,2020-12-04,Robertland
Campylobacter,Gentamicin,Medium,2020-08-03,West Elizabethberg
Salmonella,Ciprofloxacin,High,2024-05-14,New Lisa
Salmonella,Ciprofloxacin,High,2024-06-17,Cunninghamview
Campylobacter,Levofloxacin,High,2024-10-24,Brianastad
Salmonella,Trimethoprim,Medium,2022-02-13,Lake Carrie
E. coli,Norfloxacin,High,2022-02-04,Robinsonburgh
E. coli,Gentamicin,High,2020-01-19,North Michaelmouth
Salmonella,Levofloxacin,High,2022-09-16,Port Amandatown
Salmonella,Doxycycline,Low,2022-01-20,New Julie
Campylobacter,Levofloxacin,High,2020-04-15,North Matthew
Salmonella,Nitrofurantoin,Medium,2023-09-28,Reevesview
E. coli,Azithromycin,Low,2023-03-19,Stonemouth
Campylobacter,Levofloxacin,High,2024-05-14,Flynnmouth
Campylobacter,Erythromycin,Medium,2021-11-25,Lake Ronaldhaven
Campylobacter,Nitrofurantoin,High,2021-11-09,Antonioberg
E. coli,Trimethoprim,High,2020-02-11,East Theresamouth
Campylobacter,Ceftriaxone,Medium,2023-07-10,Port Barbara
Salmonella,Amoxicillin,High,2023-12-20,Sandershaven
Campylobacter,Erythromycin,Medium,2022-06-30,South Brandon
Salmonella,Ceftriaxone,Medium,2022-05-13,Vasquezshire
Salmonella,Azithromycin,Low,2023-09-01,New Janet
Salmonella,Chloramphenicol,Low,2020-02-15,Fryborough
Salmonella,Doxycycline,High,2023-03-28,New Veronica
Salmonella,Ciprofloxacin,Medium,2024-01-11,East Michaelland
Campylobacter,Chloramphenicol,Medium,2023-03-04,West Matthewburgh
E. coli,Doxycycline,Low,2024-02-15,Lake Diane
E. coli,Erythromycin,Low,2020-06-26,Karenland
Salmonella,Doxycycline,High,2021-11-02,Lopezshire
Campylobacter,Erythromycin,Medium,2021-12-19,East Gregory
Salmonella,Trimethoprim,Low,2020-12-28,East Jonathan
Campylobacter,Gentamicin,High,2021-05-07,Kaiserberg
Salmonella,Norfloxacin,Low,2024-03-04,East Gregorychester
Campylobacter,Chloramphenicol,High,2024-06-22,East Julieville
E. coli,Norfloxacin,High,2020-05-23,Juliatown
Campylobacter,Trimethoprim,Medium,2020-09-12,West Audrey
Salmonella,Amoxicillin,Medium,2023-05-02,Haleyville
E. coli,Ceftriaxone,High,2022-09-24,North Sean
Salmonella,Chloramphenicol,Low,2024-03-24,Greeneburgh
Salmonella,Azithromycin,Low,2024-06-25,New Paulview
Campylobacter,Chloramphenicol,Medium,2024-08-13,Bartonland
Salmonella,Amoxicillin,Medium,2023-11-26,Edwardmouth
Campylobacter,Trimethoprim,Low,2021-11-12,Lindseyville
E. coli,Ceftriaxone,Medium,2021-07-21,Popeside
Salmonella,Norfloxacin,Low,2022-12-22,Benjaminbury
Salmonella,Amoxicillin,Low,2021-02-13,East Eric
E. coli,Doxycycline,High,2021-05-06,Santiagoburgh
Campylobacter,Erythromycin,Medium,2021-10-07,East George
Salmonella,Gentamicin,Medium,2022-05-13,South William
Salmonella,Azithromycin,Low,2020-03-03,Amandaton
Salmonella,Ciprofloxacin,High,2020-03-25,East Steven
E. coli,Ciprofloxacin,High,2020-09-06,Williamsland
Campylobacter,Doxycycline,Medium,2021-03-11,Leeburgh
Campylobacter,Levofloxacin,Low,2021-02-10,Rebeccachester
Campylobacter,Norfloxacin,Low,2021-07-31,East Jessica
Salmonella,Azithromycin,High,2020-02-02,Port Stevenborough
Salmonella,Erythromycin,Medium,2023-12-27,Meganside
Campylobacter,Levofloxacin,Medium,2020-12-24,North Jamieview
Salmonella,Ceftriaxone,High,2024-07-22,South Joseph
E. coli,Ceftriaxone,High,2021-12-25,Gregoryfurt
Salmonella,Erythromycin,Low,2022-12-29,Whitefort
E. coli,Amoxicillin,Low,2022-09-22,Savannahstad
Salmonella,Trimethoprim,Medium,2022-09-05,Whitefurt
Salmonella,Amoxicillin,High,2020-11-17,Emilyborough
E. coli,Ceftriaxone,Low,2022-12-21,Jonesside
Salmonella,Ceftriaxone,Low,2022-09-26,Jeanfort
Salmonella,Doxycycline,Low,2021-08-08,Nathanburgh
Salmonella,Amoxicillin,High,2022-01-05,North Karen
Campylobacter,Gentamicin,Medium,2023-03-13,Port Vanessa
Campylobacter,Amoxicillin,High,2020-06-02,North Carl
E. coli,Amoxicillin,Medium,2021-07-26,Lake Alexanderview
Campylobacter,Azithromycin,Low,2021-07-07,New Candace
